seed,parameter_set,instance,makespan,runtime,model,jobs,machines,upper_bound,gap,category
0,LOR,la03,805.0,0.0101938247680664,LOR,10,5,597,0.34840871021775544,small
0,LOR,la04,732.0,0.0086188316345214,LOR,10,5,590,0.24067796610169492,small
0,LOR,la05,643.0,0.0082428455352783,LOR,10,5,593,0.08431703204047218,small
1,LOR,la01,933.0,0.0065088272094726,LOR,10,5,666,0.4009009009009009,small
1,LOR,la02,833.0,0.0091190338134765,LOR,10,5,655,0.2717557251908397,small
1,LOR,la03,813.0,0.0088050365447998,LOR,10,5,597,0.36180904522613067,small
1,LOR,la04,1023.0,0.0071527957916259,LOR,10,5,590,0.7338983050847457,small
1,LOR,la05,669.0,0.006314992904663,LOR,10,5,593,0.1281618887015177,small
2,LOR,la01,978.0,0.0077230930328369,LOR,10,5,666,0.46846846846846846,small
2,LOR,la02,920.0,0.0102498531341552,LOR,10,5,655,0.40458015267175573,small
2,LOR,la03,826.0,0.0068769454956054,LOR,10,5,597,0.38358458961474035,small
2,LOR,la04,845.0,0.0069451332092285,LOR,10,5,590,0.4322033898305085,small
2,LOR,la05,694.0,0.0059549808502197,LOR,10,5,593,0.1703204047217538,small
3,LOR,la02,823.0,0.0078961849212646,LOR,10,5,655,0.2564885496183206,small
3,LOR,la03,825.0,0.009979248046875,LOR,10,5,597,0.38190954773869346,small
3,LOR,la04,898.0,0.0098087787628173,LOR,10,5,590,0.5220338983050847,small
4,LOR,la02,822.0,0.0079100131988525,LOR,10,5,655,0.2549618320610687,small
4,LOR,la03,837.0,0.0072329044342041,LOR,10,5,597,0.4020100502512563,small
4,LOR,la04,827.0,0.0064399242401123,LOR,10,5,590,0.4016949152542373,small
4,LOR,la05,704.0,0.0065169334411621,LOR,10,5,593,0.18718381112984822,small
5,LOR,la02,872.0,0.0086467266082763,LOR,10,5,655,0.33129770992366414,small
5,LOR,la03,968.0,0.0096709728240966,LOR,10,5,597,0.6214405360134003,small
5,LOR,la04,979.0,0.0119917392730712,LOR,10,5,590,0.6593220338983051,small
5,LOR,la05,707.0,0.0087652206420898,LOR,10,5,593,0.19224283305227655,small
6,LOR,la01,789.0,0.0110788345336914,LOR,10,5,666,0.18468468468468469,small
6,LOR,la02,755.0,0.0098261833190917,LOR,10,5,655,0.15267175572519084,small
6,LOR,la03,853.0,0.0089709758758544,LOR,10,5,597,0.4288107202680067,small
6,LOR,la04,892.0,0.0088162422180175,LOR,10,5,590,0.511864406779661,small
6,LOR,la05,655.0,0.011085033416748,LOR,10,5,593,0.1045531197301855,small
7,LOR,la01,850.0,0.00785493850708,LOR,10,5,666,0.27627627627627627,small
7,LOR,la02,839.0,0.0088419914245605,LOR,10,5,655,0.28091603053435116,small
7,LOR,la03,831.0,0.0114130973815917,LOR,10,5,597,0.39195979899497485,small
7,LOR,la04,814.0,0.0088367462158203,LOR,10,5,590,0.37966101694915255,small
7,LOR,la05,692.0,0.0106251239776611,LOR,10,5,593,0.16694772344013492,small
8,LOR,la02,832.0,0.0093927383422851,LOR,10,5,655,0.27022900763358776,small
8,LOR,la03,854.0,0.0087459087371826,LOR,10,5,597,0.4304857621440536,small
8,LOR,la04,841.0,0.0147027969360351,LOR,10,5,590,0.42542372881355933,small
9,LOR,la04,821.0,0.00791597366333,LOR,10,5,590,0.39152542372881355,small
9,LOR,la05,743.0,0.0081462860107421,LOR,10,5,593,0.25295109612141653,small
0,LPT,la01,822.0,0.010218398137526029,LPT,10,5,666,0.23423423423423423,small
0,LPT,la02,990.0,0.0136830806732177,LPT,10,5,655,0.5114503816793893,small
0,LPT,la03,825.0,0.0110769271850585,LPT,10,5,597,0.38190954773869346,small
0,LPT,la04,818.0,0.0116670131683349,LPT,10,5,590,0.3864406779661017,small
0,LPT,la05,693.0,0.0101649761199951,LPT,10,5,593,0.16863406408094436,small
2,LPT,la01,792.0,0.008401870727539,LPT,10,5,666,0.1891891891891892,small
0,LRPT,la01,735.0,0.011777216737920548,LRPT,10,5,666,0.1036036036036036,small
0,LRPT,la02,813.0,0.0108869075775146,LRPT,10,5,655,0.24122137404580152,small
0,LRPT,la03,696.0,0.0099642276763916,LRPT,10,5,597,0.1658291457286432,small
0,LRPT,la04,758.0,0.0125980377197265,LRPT,10,5,590,0.2847457627118644,small
0,LRPT,la05,593.0,0.0127360820770263,LRPT,10,5,593,0.0,small
6,LRPT,la02,817.0,0.0127069950103759,LRPT,10,5,655,0.24732824427480915,small
0,LS,la01,912.0,0.010064024395412825,LS,10,5,666,0.36936936936936937,small
0,LS,la02,761.0,0.0086121559143066,LS,10,5,655,0.1618320610687023,small
0,LS,la03,811.0,0.0085070133209228,LS,10,5,597,0.35845896147403683,small
0,LS,la04,813.0,0.0095069408416748,LS,10,5,590,0.37796610169491524,small
0,LS,la05,631.0,0.0154409408569335,LS,10,5,593,0.06408094435075885,small
0,MOR,la01,749.0,0.011371103922525992,MOR,10,5,666,0.12462462462462462,small
0,MOR,la02,808.0,0.0129389762878417,MOR,10,5,655,0.233587786259542,small
0,MOR,la03,689.0,0.0116949081420898,MOR,10,5,597,0.1541038525963149,small
0,MOR,la04,708.0,0.0142481327056884,MOR,10,5,590,0.2,small
0,MOR,la05,593.0,0.0153460502624511,MOR,10,5,593,0.0,small
1,MOR,la01,770.0,0.0085330009460449,MOR,10,5,666,0.15615615615615616,small
1,MOR,la03,712.0,0.0136871337890625,MOR,10,5,597,0.19262981574539365,small
1,MOR,la04,707.0,0.010909080505371,MOR,10,5,590,0.19830508474576272,small
2,MOR,la01,719.0,0.0102729797363281,MOR,10,5,666,0.07957957957957958,small
2,MOR,la02,812.0,0.0112957954406738,MOR,10,5,655,0.23969465648854962,small
2,MOR,la03,687.0,0.0109400749206542,MOR,10,5,597,0.1507537688442211,small
2,MOR,la04,690.0,0.0114350318908691,MOR,10,5,590,0.1694915254237288,small
3,MOR,la02,781.0,0.0108327865600585,MOR,10,5,655,0.19236641221374046,small
3,MOR,la03,714.0,0.0138640403747558,MOR,10,5,597,0.19597989949748743,small
3,MOR,la04,683.0,0.0120551586151123,MOR,10,5,590,0.1576271186440678,small
4,MOR,la01,755.0,0.0101730823516845,MOR,10,5,666,0.13363363363363365,small
4,MOR,la02,785.0,0.0101881027221679,MOR,10,5,655,0.1984732824427481,small
4,MOR,la03,726.0,0.0115551948547363,MOR,10,5,597,0.21608040201005024,small
4,MOR,la04,702.0,0.0114810466766357,MOR,10,5,590,0.18983050847457628,small
5,MOR,la01,738.0,0.0133719444274902,MOR,10,5,666,0.10810810810810811,small
5,MOR,la03,757.0,0.0107650756835937,MOR,10,5,597,0.26800670016750416,small
5,MOR,la04,682.0,0.0097811222076416,MOR,10,5,590,0.15593220338983052,small
6,MOR,la02,816.0,0.0123407840728759,MOR,10,5,655,0.24580152671755726,small
6,MOR,la03,702.0,0.0101606845855712,MOR,10,5,597,0.17587939698492464,small
6,MOR,la04,699.0,0.0124619007110595,MOR,10,5,590,0.1847457627118644,small
7,MOR,la01,735.0,0.0102710723876953,MOR,10,5,666,0.1036036036036036,small
7,MOR,la03,713.0,0.0098581314086914,MOR,10,5,597,0.19430485762144054,small
7,MOR,la04,637.0,0.0097999572753906,MOR,10,5,590,0.07966101694915254,small
8,MOR,la01,737.0,0.0106422901153564,MOR,10,5,666,0.1066066066066066,small
8,MOR,la02,829.0,0.0116751194000244,MOR,10,5,655,0.26564885496183205,small
8,MOR,la03,710.0,0.0120410919189453,MOR,10,5,597,0.18927973199329984,small
8,MOR,la04,694.0,0.0116078853607177,MOR,10,5,590,0.17627118644067796,small
9,MOR,la01,746.0,0.011847972869873,MOR,10,5,666,0.12012012012012012,small
9,MOR,la03,682.0,0.0129001140594482,MOR,10,5,597,0.1423785594639866,small
9,MOR,la04,706.0,0.0103981494903564,MOR,10,5,590,0.19661016949152543,small
0,SPT,la01,751.0,0.011041794882880273,SPT,10,5,666,0.12762762762762764,small
0,SPT,la02,821.0,0.0118107795715332,SPT,10,5,655,0.2534351145038168,small
0,SPT,la03,672.0,0.0101749897003173,SPT,10,5,597,0.12562814070351758,small
0,SPT,la04,711.0,0.0111627578735351,SPT,10,5,590,0.20508474576271185,small
0,SPT,la05,610.0,0.0119967460632324,SPT,10,5,593,0.02866779089376054,small
0,SRPT,la01,933.0,0.010459062788221523,SRPT,10,5,666,0.4009009009009009,small
0,SRPT,la02,830.0,0.0104649066925048,SRPT,10,5,655,0.26717557251908397,small
0,SRPT,la03,822.0,0.012463092803955,SRPT,10,5,597,0.3768844221105528,small
0,SRPT,la04,833.0,0.0129730701446533,SRPT,10,5,590,0.411864406779661,small
0,SRPT,la05,766.0,0.0171449184417724,SRPT,10,5,593,0.2917369308600337,small
0,saved_network/FJSP_J15M15/best_value0,la01,736.0,0.11587251557244191,end_to_end_drl_for_fjsp,10,5,666,0.10510510510510511,small
