Category,Model,index,makespan,runtime,gap
small,MOR,mean,1203.2142857142858,0.051297347995429315,0.2004013359781059
small,MOR,std,288.9989252454837,0.03660489921339726,0.0777894835220196
small,SPT,mean,1269.9577464788733,0.05624146881259976,0.238384207922271
small,SPT,std,328.5632114272998,0.038700819024644936,0.10263073223568768
small,SRPT,mean,1342.3207547169811,0.04685419186473675,0.3886218789993033
small,SRPT,std,432.02794485759944,0.034978712630478435,0.11348790372886633
small,end_to_end_drl_for_fjsp,mean,1226.0566037735848,0.35854462877471,0.24243507222652272
small,end_to_end_drl_for_fjsp,std,309.33945849269134,0.20274122173461198,0.09309866319583716
small,fjsp_drl,mean,1149.2041666666667,1.137417102717799,0.16228643287287176
small,fjsp_drl,std,299.4192495679844,0.9003882407648042,0.08364012015839603
small,ieee_icce_rl_jsp,mean,1130.6898954703834,0.5829301421457709,0.1568998146182286
small,ieee_icce_rl_jsp,std,303.8299660240656,0.2886769173869205,0.07241500189437954
small,l2d,mean,1228.309719934102,0.25638974371258116,0.2544116261385626
small,l2d,std,360.6239499647871,0.14037689653699903,0.11003204806012017
small,wheatley,mean,1227.904761904762,0.8862711924961422,0.2600494788812704
small,wheatley,std,345.4766675969324,0.5572561235295933,0.1059980341148523
