run,pdr,instance,makespan,runtime
2,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
3,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
4,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
5,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
6,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
7,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
8,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
9,MOPNR_EET,Behnke1.fjs,325,0.0195414066314697
0,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
1,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
2,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
3,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
4,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
5,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
6,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
7,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
8,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
9,LWKR_SPT,Behnke1.fjs,141,0.0192123174667358
0,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
1,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
2,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
3,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
4,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
5,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
6,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
7,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
8,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
9,LWKR_EET,Behnke1.fjs,289,0.0189546823501586
0,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
1,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
2,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
3,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
4,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
5,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
6,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
7,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
8,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
9,MWKR_SPT,Behnke1.fjs,127,0.0195489168167114
0,MWKR_EET,Behnke1.fjs,300,0.019067096710205
1,MWKR_EET,Behnke1.fjs,300,0.019067096710205
2,MWKR_EET,Behnke1.fjs,300,0.019067096710205
3,MWKR_EET,Behnke1.fjs,300,0.019067096710205
4,MWKR_EET,Behnke1.fjs,300,0.019067096710205
5,MWKR_EET,Behnke1.fjs,300,0.019067096710205
6,MWKR_EET,Behnke1.fjs,300,0.019067096710205
7,MWKR_EET,Behnke1.fjs,300,0.019067096710205
8,MWKR_EET,Behnke1.fjs,300,0.019067096710205
9,MWKR_EET,Behnke1.fjs,300,0.019067096710205
0,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
1,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
2,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
3,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
4,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
5,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
6,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
7,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
8,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
9,FIFO_SPT,Behnke10.fjs,179,0.0553957939147949
0,FIFO_EET,Behnke10.fjs,533,0.059424090385437
1,FIFO_EET,Behnke10.fjs,533,0.059424090385437
2,FIFO_EET,Behnke10.fjs,533,0.059424090385437
3,FIFO_EET,Behnke10.fjs,533,0.059424090385437
4,FIFO_EET,Behnke10.fjs,533,0.059424090385437
5,FIFO_EET,Behnke10.fjs,533,0.059424090385437
6,FIFO_EET,Behnke10.fjs,533,0.059424090385437
7,FIFO_EET,Behnke10.fjs,533,0.059424090385437
8,FIFO_EET,Behnke10.fjs,533,0.059424090385437
9,FIFO_EET,Behnke10.fjs,533,0.059424090385437
0,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
1,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
2,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
3,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
4,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
5,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
6,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
7,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
8,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
9,MOPNR_SPT,Behnke10.fjs,182,0.0568835258483886
0,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
1,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
2,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
3,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
4,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
5,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
6,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
7,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
8,MOPNR_EET,Behnke10.fjs,581,0.054255199432373
