seed,model,instance,load_factor,makespan,runtime
9,SavedNetwork/20_20_1_199.pth,dmu10.txt,1,4890.0,24.09769868850708
8,SavedNetwork/20_20_1_199.pth,dmu11.txt,1,4708.0,45.62443709373474
9,SavedNetwork/20_20_1_199.pth,dmu11.txt,1,5050.0,34.17710304260254
8,SavedNetwork/20_20_1_199.pth,dmu12.txt,1,5523.0,46.02317523956299
9,SavedNetwork/20_20_1_199.pth,dmu12.txt,1,5524.0,35.9159939289093
8,SavedNetwork/20_20_1_199.pth,dmu13.txt,1,4786.0,46.64604330062866
9,SavedNetwork/20_20_1_199.pth,dmu13.txt,1,5090.0,35.9885618686676
8,SavedNetwork/20_20_1_199.pth,dmu14.txt,1,4266.0,45.70356297492981
9,SavedNetwork/20_20_1_199.pth,dmu14.txt,1,4951.0,35.339961767196655
8,SavedNetwork/20_20_1_199.pth,dmu15.txt,1,4629.0,46.11442303657532
9,SavedNetwork/20_20_1_199.pth,dmu15.txt,1,4901.0,34.96670889854431
8,SavedNetwork/20_20_1_199.pth,dmu16.txt,1,5487.0,68.49088287353516
9,SavedNetwork/20_20_1_199.pth,dmu16.txt,1,5673.0,57.26917099952698
8,SavedNetwork/20_20_1_199.pth,dmu17.txt,1,5234.0,69.3615369796753
9,SavedNetwork/20_20_1_199.pth,dmu17.txt,1,6232.0,55.075819969177246
8,SavedNetwork/20_20_1_199.pth,dmu18.txt,1,5541.0,69.90994215011597
9,SavedNetwork/20_20_1_199.pth,dmu18.txt,1,5822.0,55.7679922580719
8,SavedNetwork/20_20_1_199.pth,dmu19.txt,1,4909.0,69.60858416557312
9,SavedNetwork/20_20_1_199.pth,dmu19.txt,1,5703.0,55.32794189453125
8,SavedNetwork/20_20_1_199.pth,dmu20.txt,1,4861.0,66.41066408157349
9,SavedNetwork/20_20_1_199.pth,dmu20.txt,1,6105.0,53.44446516036987
8,SavedNetwork/20_20_1_199.pth,dmu21.txt,1,5764.0,89.09750294685364
9,SavedNetwork/20_20_1_199.pth,dmu21.txt,1,5407.0,77.96392893791199
8,SavedNetwork/20_20_1_199.pth,dmu22.txt,1,5845.0,91.075021982193
9,SavedNetwork/20_20_1_199.pth,dmu22.txt,1,5764.0,83.37659287452698
8,SavedNetwork/20_20_1_199.pth,dmu23.txt,1,5899.0,87.65875697135925
9,SavedNetwork/20_20_1_199.pth,dmu23.txt,1,5818.0,78.16034007072449
8,SavedNetwork/20_20_1_199.pth,dmu24.txt,1,5653.0,88.39787411689758
9,SavedNetwork/20_20_1_199.pth,dmu24.txt,1,5812.0,80.85888695716858
8,SavedNetwork/20_20_1_199.pth,dmu25.txt,1,5192.0,89.10015487670898
9,SavedNetwork/20_20_1_199.pth,dmu25.txt,1,5675.0,80.3890209197998
8,SavedNetwork/20_20_1_199.pth,dmu26.txt,1,6611.0,135.27681303024292
9,SavedNetwork/20_20_1_199.pth,dmu26.txt,1,6454.0,119.77611207962036
