run,model,instance,makespan,runtime,parameter_set,seed,jobs,machines,best_makespan,gap,category
0.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
1.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
2.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
3.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
4.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
5.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
6.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
7.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
8.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
9.0,MWKR_SPT,HurinkSdata22.fjs,1089.0,0.0387425184249877,MWKR_SPT,,10,10,842.0,0.29334916864608074,small
0.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
1.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
2.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
3.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
4.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
5.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
6.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
7.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
8.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
9.0,MWKR_SPT,HurinkSdata23.fjs,1076.0,0.0397930145263671,MWKR_SPT,,10,10,902.0,0.19290465631929046,small
0.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
1.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
2.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
3.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
4.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
5.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
6.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
7.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
8.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
9.0,MWKR_SPT,HurinkSdata44.fjs,1451.0,0.0398686170578002,MWKR_SPT,,10,10,1234.0,0.17585089141004862,small
0.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
1.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
2.0,MWKR_SPT,HurinkSdata45.fjs,1096.0,0.0396195650100708,MWKR_SPT,,10,10,943.0,0.16224814422057265,small
