seed,model,instance,load_factor,makespan,runtime
1,DQN_ep1670,dmu13.txt,1,6085,5.299987077713013
0,DQN_ep1670,dmu14.txt,1,5057,6.141752004623413
1,DQN_ep1670,dmu14.txt,1,5574,5.6784749031066895
0,DQN_ep1670,dmu15.txt,1,5182,6.03213095664978
1,DQN_ep1670,dmu15.txt,1,5922,6.111937761306763
0,DQN_ep1670,dmu16.txt,1,5638,8.384663105010986
1,DQN_ep1670,dmu16.txt,1,6184,7.734644174575806
0,DQN_ep1670,dmu17.txt,1,5796,8.007308006286621
1,DQN_ep1670,dmu17.txt,1,6598,7.677126169204712
0,DQN_ep1670,dmu18.txt,1,5835,7.827923059463501
1,DQN_ep1670,dmu18.txt,1,6476,7.866009712219238
0,DQN_ep1670,dmu19.txt,1,5664,7.14288067817688
1,DQN_ep1670,dmu19.txt,1,6277,7.576484203338623
0,DQN_ep1670,dmu20.txt,1,5580,8.527596950531006
1,DQN_ep1670,dmu20.txt,1,5994,8.282768964767456
0,DQN_ep1670,dmu21.txt,1,6550,9.773949146270752
1,DQN_ep1670,dmu21.txt,1,7289,9.06218695640564
0,DQN_ep1670,dmu22.txt,1,6870,9.479270935058594
1,DQN_ep1670,dmu22.txt,1,7203,8.944801807403564
0,DQN_ep1670,dmu23.txt,1,6665,9.636789083480835
1,DQN_ep1670,dmu23.txt,1,7120,9.95662522315979
0,DQN_ep1670,dmu24.txt,1,6728,10.261352300643921
1,DQN_ep1670,dmu24.txt,1,6986,9.91620397567749
0,DQN_ep1670,dmu25.txt,1,6003,9.891963958740234
1,DQN_ep1670,dmu25.txt,1,6238,10.281580924987793
0,DQN_ep1670,dmu26.txt,1,7039,14.392829895019531
1,DQN_ep1670,dmu26.txt,1,7952,13.510988235473633
0,DQN_ep1670,dmu27.txt,1,7476,14.392776250839233
1,DQN_ep1670,dmu27.txt,1,7804,14.467929124832153
0,DQN_ep1670,dmu28.txt,1,7120,14.791956901550293
1,DQN_ep1670,dmu28.txt,1,7460,14.241075277328491
0,DQN_ep1670,dmu29.txt,1,6951,14.985722780227661
1,DQN_ep1670,dmu29.txt,1,7475,13.798133134841919
0,DQN_ep1670,dmu30.txt,1,7142,14.165751934051514
1,DQN_ep1670,dmu30.txt,1,7616,14.7399001121521
0,DQN_ep1670,dmu31.txt,1,8748,14.404634237289429
1,DQN_ep1670,dmu31.txt,1,7866,14.466832876205444
0,DQN_ep1670,dmu32.txt,1,8512,15.31625509262085
1,DQN_ep1670,dmu32.txt,1,7789,14.571147918701172
0,DQN_ep1670,dmu33.txt,1,8497,14.965610027313232
1,DQN_ep1670,dmu33.txt,1,7595,15.291522026062012
0,DQN_ep1670,dmu34.txt,1,8211,14.395461797714233
1,DQN_ep1670,dmu34.txt,1,7358,14.258137702941895
0,DQN_ep1670,dmu35.txt,1,8592,14.739462852478027
1,DQN_ep1670,dmu35.txt,1,7702,14.918654918670654
0,DQN_ep1670,dmu36.txt,1,9011,20.761000871658325
1,DQN_ep1670,dmu36.txt,1,7973,19.711613178253174
0,DQN_ep1670,dmu37.txt,1,9553,18.981048107147217
1,DQN_ep1670,dmu37.txt,1,8131,19.560949087142944
0,DQN_ep1670,dmu38.txt,1,9434,20.215973138809204
1,DQN_ep1670,dmu38.txt,1,8350,20.776566982269287
0,DQN_ep1670,dmu39.txt,1,8859,20.121124982833862
1,DQN_ep1670,dmu39.txt,1,8127,20.0126371383667
0,DQN_ep1670,dmu40.txt,1,8916,19.904432773590088
1,DQN_ep1670,dmu40.txt,1,8111,19.301540851593018
0,DQN_ep1670,dmu41.txt,1,5060,3.5347728729248047
1,DQN_ep1670,dmu41.txt,1,4850,3.5960381031036377
0,DQN_ep1670,dmu42.txt,1,5401,3.3884618282318115
1,DQN_ep1670,dmu42.txt,1,5305,3.681633949279785
0,DQN_ep1670,dmu43.txt,1,5483,3.5876553058624268
1,DQN_ep1670,dmu43.txt,1,5009,3.4479517936706543
